datetime,title,tag,url
2023-11-27 10:22:07.899,"Israel, Hamas to extend truce for two more days, Qatar says",world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-war-hostage-release/
2023-11-26 23:53:16.140,"Irregular meals, benches as beds: as hostages return to Israel, details of captivity begin to emerge",world,https://www.theglobeandmail.com/world/article-irregular-meals-benches-as-beds-as-hostages-return-to-israel-details/
2023-11-26 22:12:15.873,"Three Palestinian men attending holiday gathering shot, injured near University of Vermont",world,https://www.theglobeandmail.com/world/article-3-men-of-palestinian-descent-attending-holiday-gathering-shot-injured/
2023-11-26 22:05:52.684,"Elon Musk to meet Israeli president, Gaza hostage families on Monday",world,https://www.theglobeandmail.com/world/article-elon-musk-to-meet-israeli-president-gaza-hostage-families-on-monday/
2023-11-26 21:10:36.857,"March against anti-Semitism draws 50,000 in London",world,https://www.theglobeandmail.com/world/article-march-against-anti-semitism-draws-50000-in-london/
2023-11-26 20:24:59.139,Biden says 4-year-old Abigail Edan was released by Hamas. He hopes more U.S. hostages will be freed,world,https://www.theglobeandmail.com/world/article-biden-says-4-year-old-abigail-edan-was-released-by-hamas-he-hopes-more/
2023-11-26 16:41:03.640,"Israeli-linked chemical tanker seized in Gulf of Aden, says U.S. official, vessel company",world,https://www.theglobeandmail.com/world/article-israeli-linked-chemical-tanker-seized-in-gulf-of-aden-says-us-official/
2023-11-25 22:42:08.253,Lebanese residents of border towns come back during a fragile ceasefire between Hamas and Israel,british columbia,https://www.theglobeandmail.com/canada/british-columbia/article-lebanese-residents-of-border-towns-come-back-during-a-fragile/
2023-11-25 17:58:26.089,Tens of thousands march in London calling for a permanent cease-fire in Gaza,world,https://www.theglobeandmail.com/world/article-tens-of-thousands-march-in-london-calling-for-a-permanent-cease-fire/
2023-11-25 04:25:54.252,"Hamas releases 10 Thai hostages, four of whom had not been listed as abducted",world,https://www.theglobeandmail.com/world/article-four-of-10-thai-hostages-released-by-hamas-had-not-been-listed-as/
2023-11-25 04:05:47.328,Israel reviews list of hostages set to be freed by Hamas on Saturday,world,https://www.theglobeandmail.com/world/article-israel-reviews-list-of-hostages-set-to-be-freed-by-hamas-on-saturday/
2023-11-25 03:55:02.380,Families of hostages not slated for release from Gaza during current truce face enduring nightmare,world,https://www.theglobeandmail.com/world/article-families-of-hostages-not-slated-for-release-from-gaza-during-current/
2023-11-25 01:09:02.643,York University professor among those charged with defacing Indigo store,canada,https://www.theglobeandmail.com/canada/article-york-university-professor-among-those-charged-with-defacing-indigo/
