,date,title,category,victim,responsible,url,sentence
0,2023-10-07 15:01:58,Canada and the U.S. condemn Hamas’s surprise attacks on Israel,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-canada-us-hamas-attack-israel/,"Hamas fighters killed at least 300 Israelis in clashes, and and Hamas fighters took an unknown number of civilians and soldiers captive into Gaza."
1,2023-10-07 15:01:58,Canada and the U.S. condemn Hamas’s surprise attacks on Israel,world,Neither,Neither,https://www.theglobeandmail.com/world/article-canada-us-hamas-attack-israel/,"He also warmly greeted Saudi Crown Prince Mohammed bin Salman at a G20 summit in New Delhi, marking a significant thaw after Mr. Biden had refused to deal with the kingdom’s de facto leader over the murder of Washington Post columnist Jamal Khashoggi."
2,2023-10-07 15:01:58,Canada and the U.S. condemn Hamas’s surprise attacks on Israel,world,Palestinian,Israel,https://www.theglobeandmail.com/world/article-canada-us-hamas-attack-israel/,"Gaza authorities said Israeli retaliation has killed at least 313 and injured more than 2,000."
3,2023-10-07 15:01:58,Canada and the U.S. condemn Hamas’s surprise attacks on Israel,world,Palestinian,Neither,https://www.theglobeandmail.com/world/article-canada-us-hamas-attack-israel/,Palestinian health officials said at least 313 civilians killed.
4,2023-10-07 21:52:34,The heinous attack on Israel is yet another war crime perpetrated by Hamas,opinion,Israeli,Neither,https://www.theglobeandmail.com/opinion/article-the-heinous-attack-on-israel-is-yet-another-war-crime-perpetuated-by/,"Social media is awash with barbaric scenes: the corpse of a young Israeli woman being desecrated and paraded through the streets of Gaza; the intentional bombing of ambulances; the cold-blooded slaughter of innocent Israeli men, women, children and elderly alike; the anguished cries of family members searching for their loved ones."
5,2023-10-07 21:52:34,The heinous attack on Israel is yet another war crime perpetrated by Hamas,opinion,Israeli,Neither,https://www.theglobeandmail.com/opinion/article-the-heinous-attack-on-israel-is-yet-another-war-crime-perpetuated-by/,"Hundreds of innocent Israelis have been murdered, thousands injured, and an untold number kidnapped and taken hostage."
6,2023-10-08 0:36:35,Ukraine’s Zelensky calls for world solidarity with Israel,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-ukraines-zelensky-calls-for-world-solidarity-with-israel/,Prime Minister Benjamin Netanyahu vowed “mighty vengeance” after a surprise assault by Hamas killed more than 200 people in the deadliest day of violence in Israel in half a century.
7,2023-10-08 10:36:46,In photos: Israel battles Hamas for a second day after mass incursion,global reporting,Palestinian,Israel,https://www.theglobeandmail.com/world/global-reporting/gallery-in-photos-israel-battles-hamas-for-a-second-day-after-mass-incursion/,"Mourners react during the funeral of Palestinian twin babies Ossayd and Mohammad Abu Hmaid, their mother and their three sisters, who health officials said were killed in Israeli strikes, during their funeral in Khan Younis in the southern Gaza Strip Oct. 8, 2023.IBRAHEEM ABU MUSTAFA/Reuters"
8,2023-10-08 17:30:00,The Israel-Gaza war will have grave repercussions in the Middle East and beyond,opinion,Israeli,Hamas,https://www.theglobeandmail.com/opinion/article-the-israel-gaza-war-will-have-grave-repercussions-in-the-middle-east/,"Israel, reeling from the deadliest attack on its territory in half a century, formally declared war on Hamas Sunday as the conflict's death toll neared 1,000 after the Palestinian militant group launched a massive surprise assault from Gaza.AHMED ZAKOUT/AFP/Getty Images."
9,2023-10-08 17:43:13,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",canada,Both,Neither,https://www.theglobeandmail.com/canada/article-canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for/,At least 700 people have reportedly been killed in Israel and more than 400 have been killed in Gaza.
10,2023-10-08 17:43:13,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",canada,Neither,Neither,https://www.theglobeandmail.com/canada/article-canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for/,"Prime Minister Justin Trudeau is calling for the release of hostages, as Ottawa says it investigates reports a Canadian has been killed and two were being held captive."
11,2023-10-08 17:43:13,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",canada,Neither,Neither,https://www.theglobeandmail.com/canada/article-canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for/,"No further information about the identity of the Canadian who reportedly died, or the others who were missing, was included in the statement."
12,2023-10-08 17:43:13,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",canada,Both,Neither,https://www.theglobeandmail.com/canada/article-canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for/,"The unprecedented attack has been called the deadliest on Israel in years, with the incursion and counteroffensive killing hundreds on both sides and injuring thousands more."
13,2023-10-08 17:43:13,"Canadians stuck in Israel as flights are cancelled, embassy closed for Thanksgiving",canada,Neither,Neither,https://www.theglobeandmail.com/canada/article-canadians-stuck-in-israel-as-flights-are-cancelled-embassy-closed-for/,"Global Affairs Canada, meanwhile, said in a statement Sunday afternoon that it was aware of reports of one Canadian who has died amid the fighting and two others who are missing."
14,2023-10-09 0:28:54,"Hamas’s surprise attack on Israel marks a failure of intelligence operations, experts say",canada,Israeli,Hamas,https://www.theglobeandmail.com/canada/article-israeli-intelligence-hamas-attack/,"Israeli forces were not expecting the massive assault by gunmen who suddenly overwhelmed the southern border on Saturday, killing hundreds and taking dozens of captives, including civilians."
15,2023-10-09 0:47:30,U.S. announces military aid for Israel as Hamas attack delivers blow to Biden push for Saudi-Israel normalization,u.s. politics,Both,Both,https://www.theglobeandmail.com/world/us-politics/article-us-announces-military-aid-for-israel-as-hamas-attack-delivers-blow-to/,Hamas’s attack has killed at least 700 Israelis since Saturday and Israel’s retaliation has killed more than 400 Palestinians.
16,2023-10-09 0:47:30,U.S. announces military aid for Israel as Hamas attack delivers blow to Biden push for Saudi-Israel normalization,u.s. politics,Neither,Hamas,https://www.theglobeandmail.com/world/us-politics/article-us-announces-military-aid-for-israel-as-hamas-attack-delivers-blow-to/,Secretary of State Antony Blinken said the U.S. was investigating reports that its citizens were among those killed and kidnapped by Hamas.
17,2023-10-09 14:57:24,"Qatar in talks with Hamas, Israel to swap Israeli hostages for Palestinians in Israeli jails",report on business,Israeli,Hamas,https://www.theglobeandmail.com/business/article-qatar-in-talks-with-hamas-israel-to-swap-israeli-hostages-for/,"Qatar has been in touch with Hamas officials in Doha and Gaza, the source said, after the Islamist group assaulted Israel from Gaza on Saturday, storming into towns, killing more than 700 Israelis, and escaping with dozens of hostages."
18,2023-10-09 14:57:24,"Qatar in talks with Hamas, Israel to swap Israeli hostages for Palestinians in Israeli jails",report on business,Palestinian,Israel,https://www.theglobeandmail.com/business/article-qatar-in-talks-with-hamas-israel-to-swap-israeli-hostages-for/,"In Hamas-controlled Gaza, Israel has carried out its most intensive retaliatory strikes ever, killing more than 500 people since Saturday."
