,datetime,title,tag,url
0,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel
1,2023-10-07,"Canada increases police presence at synagogues, mosques following Hamas attack on Israel",Canada,https://nationalpost.com/news/canada/canadian-politicians-condemn-deadly-surprise-hamas-attack-on-israel
2,2023-10-07,Hamas claims 163 Israeli captives taken to Gaza,News,https://nationalpost.com/news/hamas-claims-53-israeli-captives-taken-to-gaza
3,2023-10-07,Canadian describes surprise Hamas attack on Israel as politicians condemn violence,PMN Canada,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/canadian-politicians-condemn-deadly-surprise-hamas-attack-on-israel-2
4,2023-10-07,George Monastiriakos: There is no moral equivalence between Israel and Hamas,NP Comment,https://nationalpost.com/opinion/george-monastiriakos-there-is-no-moral-equivalence-between-israel-and-hamas
5,2023-10-07,Vivian Bercovici: Hamas carnage on Israel is on an unprecedented scale,NP Comment,https://nationalpost.com/opinion/hamas-carnage-on-israelis-is-on-an-unprecedented-scale
6,2023-10-08,Canadians stuck in Israel amid cancelled flights and reports of Canadians killed and missing,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/canadians-stuck-in-israel
7,2023-10-08,Barbara Kay: Time for Israel to stop gambling and start winning,NP Comment,https://nationalpost.com/opinion/time-for-israel-to-stop-gambling-and-start-winning
8,2023-10-08,Avi Benlolo: The campaign to justify Hamas' mass murder of innocent civilians is well underway,NP Comment,https://nationalpost.com/opinion/the-campaign-to-justify-hamas-mass-murder-of-innocent-civilians-is-well-underway
9,2023-10-08,'I saw masses of wounded people': Israeli rave becomes terrorists’ shooting gallery,News,https://nationalpost.com/news/i-saw-masses-of-wounded-people-israeli-rave-becomes-terrorists-shooting-gallery
10,2023-10-08,"Terry Glavin: As Israeli innocents are hunted and murdered, certain Canadian ‘progressives’ choose to celebrate",NP Comment,https://nationalpost.com/opinion/canadian-progressives-celebrate-israel-war
11,2023-10-09,Vancouver man killed in Hamas attack on Israeli music festival,Canada,https://nationalpost.com/news/local-news/vancouver-man-missing-southern-israel/wcm/ccc897b8-dc28-4f2c-994d-a281a9e772d1
12,2023-10-09,Canada absent from major nations’ statement on Israel violence,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/canada-left-out-of-joint-g7-statement-condemning-hamas-attack-on-israel
13,2023-10-09,"Montreal man among those killed in attack on Israel by Hamas militants, family says",PMN Canada,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/montreal-man-among-those-killed-in-attack-on-israel-by-hamas-militants-family-says
14,2023-10-09,"Canadian died a 'hero' amid music festival massacre in Israel, father says",News,https://nationalpost.com/news/canadian-died-a-hero-amid-music-festival-massacre
15,2023-10-09,Vivian Bercovici: Canada leaves its citizens adrift in Israeli chaos,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/vivian-bercovici-canada-leaves-its-citizens-adrift-in-israeli-chaos
16,2023-10-09,"As false war information spreads on X, Musk promotes unvetted accounts",News,https://nationalpost.com/news/as-false-war-information-spreads-on-x-musk-promotes-unvetted-accounts
17,2023-10-09,Five things to know about the war between Israel and Hamas,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/5-things-to-know-as-israel-declares-war-on-hamas
18,2023-10-09,Michael Higgins: Trudeau must condemn these obscene rallies that shame Canada,NP Comment,https://nationalpost.com/opinion/trudeau-hamas-israel-rallies
19,2023-10-09,"Israel vows complete siege of Gaza, cutting off food and fuel, as Hamas fires rockets",News,https://nationalpost.com/news/israel-vows-complete-siege-of-gaza-after-incursion-by-hamas
20,2023-10-09,"Jesse Kline: In Israel, protesters get a sobering reminder of what's really at stake",NP Comment,https://nationalpost.com/opinion/in-israel-protesters-get-a-sobering-reminder-of-whats-really-at-stake
21,2023-10-09,Harry Rakowski: Why do we accept mediocrity in health care?,NP Comment,https://nationalpost.com/opinion/harry-rakowski-why-do-we-accept-mediocrity-in-health-care
22,2023-10-09,Israel declares war on Hamas: Airstrikes bombard Gaza as U.S. sends help,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/israel-declares-war-hamas-gaza
23,2023-10-10,Ottawa downplays exclusion from allies' joint statement denouncing Hamas terrorist attacks,News,https://nationalpost.com/news/ottawa-downplays-exclusion-from-allies-joint-statement-denouncing-hamas
24,2023-10-10,"'Sheer evil': Biden condemns Hamas attack on Israel, warns others not to get involved",World,https://nationalpost.com/news/world/sheer-evil-biden-condemns-hamas-attack-on-israel-warns-others-not-to-get-involved
25,2023-10-10,Canadians in Israel frustrated by lack of support from federal government,Canada,https://nationalpost.com/news/canada/canadians-israel-frustrated-lack-of-support-feds
26,2023-10-10,"Israel-Hamas war: Rockets, then murder and kidnapping — how the first day unfolded",Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/israel-hamas-war-how-first-day-unfolded
27,2023-10-10,John Ivison: Tolerating the glorification of terror and slaughter is societal suicide,NP Comment,https://nationalpost.com/opinion/tolerating-glorification-of-terror-is-societal-suicide
28,2023-10-10,Sabrina Maddeaux: Don't look away from the true horrors of what Hamas did in Israel,NP Comment,https://nationalpost.com/opinion/sabrina-maddeaux-dont-look-away-from-the-true-horrors-of-what-hamas-did-in-israel
29,2023-10-10,Here's what we know about Canadian victims of Hamas attacks,News,https://nationalpost.com/news/canadians-killed-missing-israel-hamas-war
30,2023-10-10,Hamas attacks lead Quebec to delay opening of representative office in Israel,Canada,https://nationalpost.com/news/canada/quebec-delays-opening-office-israel-hamas-attacks
31,2023-10-10,Two Canadians killed by Hamas in Israel remembered as proud and loving,PMN Canada,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/vancouver-man-ben-mizrachi-killed-by-hamas-in-israel-school-head
32,2023-10-10,Hamas: What to know about the terrorist group behind Israel attack,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/terrorist-group-hamas-israel-attack
33,2023-10-10,'Help us': 10-year-old texts mom after Hamas terrorists kill her father in Israel,News,https://nationalpost.com/news/help-us-10-year-old-texts-mom-after-hamas-terrorists-kill-her-father-in-israel
34,2023-10-10,Joe Oliver: Israel merits Canada’s unwavering support,NP Comment,https://nationalpost.com/opinion/israel-merits-canadas-unwavering-support
35,2023-10-10,What to know about the hostages taken from Israel in Hamas attack,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/hostages-hamas-attack-israel
36,2023-10-10,Photos and survivor accounts reveal Hamas slaughter at Israeli music festival: 'This is hell',Canada,https://nationalpost.com/news/canada/photos-israel-music-festival-hamas-attack
37,2023-10-10,Canadian who returned from Syria prison camp faces terrorism charge,Canada,https://nationalpost.com/news/canada/canadian-who-returned-from-syria-prison-camp-faces-terrorism-charge
38,2023-10-10,Canadian political leaders denounce Hamas attack on Israel,News,https://nationalpost.com/news/canadian-political-leaders-denounce-hamas-attack-on-israel
39,2023-10-10,Hamas 'came to kill' but a 16-year-old survived after being guided to safety by a text chain,World,https://nationalpost.com/news/world/hamas-came-to-kill-but-a-teen-survived-using-group-texts
40,2023-10-10,"Israel-Hamas War Day 4: Canada planning airlift of citizens, permanent residents from Israel",Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/israel-hamas-war-live-day-4
41,2023-10-10,FIRST READING: A brief history of Trudeau describing things that never happened,NP Comment,https://nationalpost.com/opinion/history-of-trudeau-describing-things-that-never-happened
42,2023-10-10,Tasha Kheiriddin: The civilized world finally sees Hamas for the murder cult that it is,NP Comment,https://nationalpost.com/opinion/civilized-world-sees-hamas-for-the-murder-cult-that-it-is
43,2023-10-10,"Russia will only resume nuclear tests if the U.S. does it first, says Russian diplomat",News,https://nationalpost.com/news/russia-will-only-resume-nuclear-tests-if-the-us-does-it-first-russian-diplomat-says
44,2023-10-10,"'Hamas are terrorists,' Trudeau says, amid pro-Palestinian rallies across Canada",Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/hamas-are-terrorists-justin-trudeau-says
45,2023-10-10,Hamas terrorists murdered as many as 40 babies in village attack: IDF soldiers,Israel & Middle East,https://nationalpost.com/news/world/israel-middle-east/babies-murdered-hamas-terrorist-attack
46,2023-10-11,Terry Glavin: Hamas supporters enjoy safe haven and left-wing backing in Canada,NP Comment,https://nationalpost.com/opinion/terry-glavin-hamas-supporters-enjoy-safe-haven-and-left-wing-support-in-canada
47,2023-10-11,John Ivison: The leaders of the free world have no time left for unserious Canada,NP Comment,https://nationalpost.com/opinion/john-ivison-leaders-free-world-no-time-unserious-canada
48,2023-10-11,"'Everybody’s afraid' Mideast conflict could lessen support for Ukraine, Zelenskyy says at global defence meeting",World,https://nationalpost.com/news/world/everybodys-afraid-mideast-conflict-could-lessen-support-for-ukraine-zelenskyy-says-at-global-defence-meeting
49,2023-10-11,"Chris Selley: Let the pro-Hamas protests go on, so that Canadians can face the vileness",NP Comment,https://nationalpost.com/opinion/why-we-should-let-pro-hamas-protests-go-on
50,2023-10-11,"Missing woman whose half-naked body was put on display by Hamas is alive, mother says",Israel & Middle East,https://nationalpost.com/news/world/missing-woman-whose-half-naked-body-was-put-on-display-by-hamas-believed-to-be-alive/wcm/ad404061-a754-4508-ace2-ce8645f5c1dc
