,date,title,category,victim,responsible,url,sentence
0,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,Both,Israel,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel,At least 700 people have reportedly been killed in Israel — a staggering toll on a scale the country has not experienced in decades — and more than 400 have been killed in Gaza as Israeli airstrikes pound the territory.
1,2023-10-07,Vivian Bercovici: Hamas carnage on Israel is on an unprecedented scale,NP Comment,Israeli,Hamas,https://nationalpost.com/opinion/hamas-carnage-on-israelis-is-on-an-unprecedented-scale,But for now the focus is on saving as many lives as possible and containing the terrorists who have entered Israel to murder civilians.
2,2023-10-07,Hamas claims 163 Israeli captives taken to Gaza,News,Israeli,Hamas,https://nationalpost.com/news/hamas-claims-53-israeli-captives-taken-to-gaza,"Hamas killed at least 100 Israelis on Saturday amid an ongoing offensive in which the Palestinian terrorist group has fired more than 3,000 rockets."
3,2023-10-07,"Canada increases police presence at synagogues, mosques following Hamas attack on Israel",Canada,Palestinian,Israel,https://nationalpost.com/news/canada/canadian-politicians-condemn-deadly-surprise-hamas-attack-on-israel,"The Palestinian Health Ministry in Gaza said at least 198 people have been killed and at least 1,610 wounded in the territory in Israel’s retaliation after the attack which caught the country off guard on a major Jewish holiday."
4,2023-10-07,"Canada increases police presence at synagogues, mosques following Hamas attack on Israel",Canada,Both,Neither,https://nationalpost.com/news/canada/canadian-politicians-condemn-deadly-surprise-hamas-attack-on-israel,"At least 200 people have been killed and more than a thousand have been injured, Israel’s national rescue service said Saturday."
5,2023-10-07,George Monastiriakos: There is no moral equivalence between Israel and Hamas,NP Comment,Both,Neither,https://nationalpost.com/opinion/george-monastiriakos-there-is-no-moral-equivalence-between-israel-and-hamas,"The punishment issued for “collaborating with hostile entities,” like being a member of the LGBTQ+ community, is death."
6,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,Palestinian,Israel,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel,An Israeli official said security forces have killed 400 militants and captured dozens more.
7,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,Palestinian,Neither,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel,"The Gaza Health Ministry said 413 people, including 78 children and 41 women, were killed in the territory."
8,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,Israeli,Neither,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel,"Several Israeli media outlets, citing rescue service officials, said at least 700 people have been killed in Israel, including 44 soldiers."
9,2023-10-07,Israeli rescue service says it retrieved about 260 bodies from a music festival attacked by Hamas,News,Both,Neither,https://nationalpost.com/news/palestinians-say-at-least-198-killed-in-gaza-in-israeli-retaliation-for-a-hamas-assault-into-israel,"The high death toll and slow response to the onslaught pointed to a major intelligence failure and undermined the long-held perception that Israel has eyes and ears everywhere in the small, densely populated territory it has controlled for decades."
10,2023-10-08,I saw masses of wounded people': Israeli rave becomes terrorists’ shooting gallery,News,Israeli,Neither,https://nationalpost.com/news/i-saw-masses-of-wounded-people-israeli-rave-becomes-terrorists-shooting-gallery,"According to the most recent numbers, 250 Israelis have been killed since the fighting began shortly after 6:30 a.m."
