datetime,title,tag,url,kw_match
2023-11-27 23:19:17,Relatives and a friend of Israelis kidnapped and killed by Hamas visit Australia's Parliament House,Australia And New Zealand,https://www.thestar.com/news/world/australia/relatives-and-a-friend-of-israelis-kidnapped-and-killed-by-hamas-visit-australias-parliament-house/article_0138a174-0515-50c2-b94e-7bd9470827a2.html,True
2023-11-27 22:47:09,Blinken will return to Israel as the US hopes to see further extensions of the Gaza cease-fire,United States,https://www.thestar.com/news/world/united-states/blinken-will-return-to-israel-as-the-us-hopes-to-see-further-extensions-of-the/article_456b2786-fd36-5d45-bf6f-1936592176ef.html,True
2023-11-27 22:32:00,Suspect in shooting of 3 men of Palestinian descent near the University of Vermont pleads not guilty,United States,https://www.thestar.com/news/world/united-states/suspect-in-shooting-of-3-men-of-palestinian-descent-near-the-university-of-vermont-pleads/article_282f84bb-9e04-5c16-b72e-ecdc972048bc.html,True
2023-11-27 21:29:35,ICC prosecutors halt 13-year Kenya investigation that failed to produce any convictions,Europe,https://www.thestar.com/news/world/europe/icc-prosecutors-halt-13-year-kenya-investigation-that-failed-to-produce-any-convictions/article_fda5881e-4c9f-5f09-b119-778fb8a80b06.html,False
2023-11-28 12:54:31,UBC student group demands investigation into fabricated pro-Hamas stickers that have further polarized campus,British Columbia,https://www.thestar.com/news/canada/british-columbia/ubc-student-group-demands-investigation-into-fabricated-pro-hamas-stickers-that-have-further-polarized-campus/article_0b72dc23-33c1-54a0-a651-e29c55b2c62d.html,True
2023-11-27 19:12:00,Israel releases Palestinian prisoners and Hamas frees 11 hostages as truce extended,LIVE UPDATES,https://www.thestar.com/news/world/middle-east/israel-releases-palestinian-prisoners-and-hamas-frees-11-hostages-as-truce-extended/article_72629a99-2d3c-5ece-aa98-4c6418fd6b89.html,True
2023-11-27 17:35:54,Russian FM says he plans to attend OSCE meeting in North Macedonia,Europe,https://www.thestar.com/news/world/europe/russian-fm-says-he-plans-to-attend-osce-meeting-in-north-macedonia/article_450a8236-5ef6-5b12-8389-bfbce76ef198.html,False
2023-11-27 16:18:10,Palestinian diplomat appeals for peace in Gaza at a meeting between EU and Arab nations in Spain,Europe,https://www.thestar.com/news/world/europe/palestinian-diplomat-appeals-for-peace-in-gaza-at-a-meeting-between-eu-and-arab-nations/article_edd3a0fe-3010-5051-8ea0-f114cc98e27e.html,True
2023-11-27 16:21:57,Companies face delicate decisions on weighing in on Israel-Hamas conflict,Business,https://www.thestar.com/business/companies-face-delicate-decisions-on-weighing-in-on-israel-hamas-conflict/article_82dfd4d5-0211-5129-b68e-57264eefce8f.html,True
2023-11-27 16:22:46,Argentina's right-wing president-elect to meet with a top Biden adviser,United States,https://www.thestar.com/news/world/united-states/argentinas-right-wing-president-elect-to-meet-with-a-top-biden-adviser/article_ae8ee761-6cde-539a-9b12-49ced0946dec.html,False
2023-11-27 15:20:11,Montreal police investigating after 'Molotov cocktail' thrown at Jewish centre,Canada,https://www.thestar.com/news/canada/montreal-police-investigating-after-molotov-cocktail-thrown-at-jewish-centre/article_2e914e16-d1b7-5e49-b2a6-019f426f05bf.html,True
2023-11-27 15:20:12,Saskatchewan MLA apologizes for liking post with 'from the river to the sea' slogan,Canada,https://www.thestar.com/news/canada/saskatchewan-mla-apologizes-for-liking-post-with-from-the-river-to-the-sea-slogan/article_ce79d10e-4e4b-5b49-8346-b205456ba618.html,False
2023-11-27 12:56:35,"Israel and Hamas agree to extend truce for two more days, and free more hostages and prisoners",Middle East,https://www.thestar.com/news/world/middle-east/israel-and-hamas-agree-to-extend-truce-for-two-more-days-and-free-more-hostages/article_12df9071-842a-5b79-b411-63072bcd284e.html,True
2023-11-27 12:09:00,Qatar is the go-to mediator in the Mideast war. Its unprecedented Tel Aviv trip saved a shaky truce,Middle East,https://www.thestar.com/news/world/middle-east/qatar-is-the-go-to-mediator-in-the-mideast-war-its-unprecedented-tel-aviv-trip/article_177886e3-6b19-56c6-ba59-ecf0b02796c1.html,True
2023-11-27 12:01:49,"Militants in latest ship attack near Yemen were likely Somali, not Houthi rebels, Pentagon says",United States,https://www.thestar.com/news/world/united-states/militants-in-latest-ship-attack-near-yemen-were-likely-somali-not-houthi-rebels-pentagon-says/article_8b14aa64-6c33-5419-b8b5-ee32a3f59d4d.html,True
2023-11-27 11:57:24,Iran adds a sophisticated warship to its Caspian Sea fleet,Middle East,https://www.thestar.com/news/world/middle-east/iran-adds-a-sophisticated-warship-to-its-caspian-sea-fleet/article_63946712-15cd-57e8-8390-35552d102af1.html,False
2023-11-27 10:40:00,President Joe Biden plans to skip U.N. climate talks beginning this week in Dubai,United States,https://www.thestar.com/news/world/united-states/president-joe-biden-plans-to-skip-u-n-climate-talks-beginning-this-week-in-dubai/article_b8f8c306-602b-52ad-8a97-466b5cb58df1.html,False
2023-11-27 08:21:24,What's Merriam-Webster's word of the year for 2023? Hint: Be true to yourself,World,https://www.thestar.com/news/world/whats-merriam-websters-word-of-the-year-for-2023-hint-be-true-to-yourself/article_88ca5b80-9153-5df1-af18-6cfe5a76f48c.html,False
2023-11-27 07:33:00,A freed Israeli family with ties to Toronto + the loneliness of Toronto’s housing crisis,Morning News Digest,https://www.thestar.com/news/morning-digest/a-freed-israeli-family-with-ties-to-toronto-the-loneliness-of-toronto-s-housing-crisis/article_92f9c29a-4c90-5f66-a30e-0defba6361c6.html,True
2023-11-27 06:24:49,Indonesia's 3 presidential contenders vow peaceful campaigns ahead of next year election,Asia,https://www.thestar.com/news/world/asia/indonesias-3-presidential-contenders-vow-peaceful-campaigns-ahead-of-next-year-election/article_dca91a52-8b8d-5b31-ae7d-57d24746e0a3.html,False
2023-11-27 04:17:00,Six teenagers go on trial for their alleged role in the 2020 beheading of a French teacher,Europe,https://www.thestar.com/news/world/europe/six-teenagers-go-on-trial-for-their-alleged-role-in-the-2020-beheading-of-a/article_035f1997-ff8c-5680-b81f-3ae75a744b12.html,False
2023-11-26 23:27:09,"Hamas releases a third group of hostages as part of truce, and says it will seek to extend the deal",Middle East,https://www.thestar.com/news/world/middle-east/hamas-releases-a-third-group-of-hostages-as-part-of-truce-and-says-it-will/article_0b0249f0-8a44-5409-b0b3-dc739c9ba2a8.html,True
