,date,title,category,victim,responsible,url,sentence
0,2023-10-07 17:12:00,"Gunfire, rockets and carnage: Israelis are stunned and shaken by unprecedented Hamas attack",Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/gunfire-rockets-and-carnage-israelis-are-stunned-and-shaken-by-unprecedented-hamas-attack/article_96c03e92-f736-5207-b22b-bf214bd7e7e5.html,"“I will not kill you,” the fighter could be heard yelling in broken English while gunfire sounded."
1,2023-10-07 17:12:00,"Gunfire, rockets and carnage: Israelis are stunned and shaken by unprecedented Hamas attack",Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/gunfire-rockets-and-carnage-israelis-are-stunned-and-shaken-by-unprecedented-hamas-attack/article_96c03e92-f736-5207-b22b-bf214bd7e7e5.html," JERUSALEM (AP) — Israelis peeked out their windows to see terrifying scenes of armed Hamas militants outside, trying to break into their houses and shooting at anyone they saw."
2,2023-10-07 17:12:00,"Gunfire, rockets and carnage: Israelis are stunned and shaken by unprecedented Hamas attack",Middle East,,Hamas,https://www.thestar.com/news/world/middle-east/gunfire-rockets-and-carnage-israelis-are-stunned-and-shaken-by-unprecedented-hamas-attack/article_96c03e92-f736-5207-b22b-bf214bd7e7e5.html,"The last time he heard from his mother-in-law was 10:30 a.m., he said, when she called him, panicked and distraught, to say that Hamas militants had shot and killed her husband."
3,2023-10-07 19:26:00,Joe Biden decries the 'unconscionable' Hamas attack and warns Israel's enemies not to exploit the crisis,Middle East,Neither,Neither,https://www.thestar.com/news/world/middle-east/joe-biden-decries-the-unconscionable-hamas-attack-and-warns-israels-enemies-not-to-exploit-the/article_15f3f89a-1338-50d1-83ba-55e59c601d2f.html,"Zelenskyy, who is Jewish and had relatives who died in the Holocaust, said “Israel’s right to self-defense cannot be questioned."""
4,2023-10-07 20:49:00,Canadian describes surprise Hamas attack on Israel as politicians condemn violence,Canada,Palestinian,Israel,https://www.thestar.com/news/canada/canadian-describes-surprise-hamas-attack-on-israel-as-politicians-condemn-violence/article_90a857e6-9794-524a-b858-4eecf5302e51.html,"In the Gaza Strip, at least 232 people have been killed and at least 1,700 wounded in Israeli strikes, the Palestinian Health Ministry said."
5,2023-10-07 20:49:00,Canadian describes surprise Hamas attack on Israel as politicians condemn violence,Canada,Israeli,Hamas,https://www.thestar.com/news/canada/canadian-describes-surprise-hamas-attack-on-israel-as-politicians-condemn-violence/article_90a857e6-9794-524a-b858-4eecf5302e51.html,"Rescue service officials in Israel said at least 250 people have been killed and 1,500 are wounded in the attacks by Hamas."
6,2023-10-07 23:33:46,"Hamas surprise attack out of Gaza stuns Israel and leaves hundreds dead in fighting, retaliation",World,Israeli,Hamas,https://www.thestar.com/news/world/hamas-surprise-attack-out-of-gaza-stuns-israel-and-leaves-hundreds-dead-in-fighting-retaliation/article_146ba0ec-511b-5b7b-875d-f1f3c0607b0a.html," JERUSALEM (AP) — Backed by a barrage of rockets, Hamas militants stormed from the blockaded Gaza Strip into nearby Israeli towns, killing dozens and abducting others in an unprecedented surprise attack during a major Jewish holiday Saturday."
7,2023-10-07 23:33:46,"Hamas surprise attack out of Gaza stuns Israel and leaves hundreds dead in fighting, retaliation",World,Palestinian,Israel,https://www.thestar.com/news/world/hamas-surprise-attack-out-of-gaza-stuns-israel-and-leaves-hundreds-dead-in-fighting-retaliation/article_146ba0ec-511b-5b7b-875d-f1f3c0607b0a.html,"At least 232 people in the Gaza Strip were killed and 1,700 wounded in Israeli strikes, the Palestinian Health Ministry said."
8,2023-10-07 23:33:46,"Hamas surprise attack out of Gaza stuns Israel and leaves hundreds dead in fighting, retaliation",World,Israeli,Neither,https://www.thestar.com/news/world/hamas-surprise-attack-out-of-gaza-stuns-israel-and-leaves-hundreds-dead-in-fighting-retaliation/article_146ba0ec-511b-5b7b-875d-f1f3c0607b0a.html,"Israeli media, citing rescue service officials, said at least 250 people were killed and 1,500 wounded in Saturday's attack, making it the deadliest in Israel in decades."
9,2023-10-07 23:33:46,"Hamas surprise attack out of Gaza stuns Israel and leaves hundreds dead in fighting, retaliation",World,Israeli,Neither,https://www.thestar.com/news/world/hamas-surprise-attack-out-of-gaza-stuns-israel-and-leaves-hundreds-dead-in-fighting-retaliation/article_146ba0ec-511b-5b7b-875d-f1f3c0607b0a.html,"Among the dead was Col. Jonathan Steinberg, a senior officer who commanded the Israeli military's Nahal Brigade, a prominent infantry unit."
10,2023-10-07 23:33:46,"Hamas surprise attack out of Gaza stuns Israel and leaves hundreds dead in fighting, retaliation",World,Palestinian,Israel,https://www.thestar.com/news/world/hamas-surprise-attack-out-of-gaza-stuns-israel-and-leaves-hundreds-dead-in-fighting-retaliation/article_146ba0ec-511b-5b7b-875d-f1f3c0607b0a.html,"Palestinian health officials said Israeli fire killed five there, but gave few details."
